action,spot,forward,a,b,rho,rho_negative,m,m_negative,sigma,risk_free_rate,strike,is_up,quantity
update_basis,65602536430000,65571646370000,,,,,,,,,,,
update_svi,,,980000,42220000,172550000,true,19240000,false,75960000,35000000,,,
mint,,,,,,,,,,,63244008324903,true,172565359747
update_basis,66012195510000,65809530940000,,,,,,,,,,,
update_svi,,,690000,42740000,222820000,true,12490000,false,80330000,35000000,,,
mint,,,,,,,,,,,63137080426147,false,606711836457
update_basis,65918621780000,65904904840000,,,,,,,,,,,
update_svi,,,990000,41470000,231900000,true,11880000,false,76790000,35000000,,,
mint,,,,,,,,,,,69970025257020,true,1162216810244
update_basis,65930259540000,65902093770000,,,,,,,,,,,
update_svi,,,870000,42250000,194380000,true,16960000,false,77030000,35000000,,,
mint,,,,,,,,,,,75476314683823,true,537436860721
update_basis,65516541260000,65483049080000,,,,,,,,,,,
update_svi,,,1120000,41860000,163170000,true,23300000,false,73920000,35000000,,,
mint,,,,,,,,,,,55482456517533,false,2571509665220
update_basis,65228822770000,65160449660000,,,,,,,,,,,
update_svi,,,1200000,41980000,163580000,true,25280000,false,75650000,35000000,,,
mint,,,,,,,,,,,71107998339984,true,830579992637
update_basis,65458145500000,65398944950000,,,,,,,,,,,
update_svi,,,1180000,42050000,159040000,true,24490000,false,71110000,35000000,,,
mint,,,,,,,,,,,63341259497627,false,90508812375
update_basis,65516541260000,65483049080000,,,,,,,,,,,
update_svi,,,1120000,41860000,163170000,true,23300000,false,73920000,35000000,,,
mint,,,,,,,,,,,71738262533455,true,2137091724519
update_basis,65444577260000,65405873610000,,,,,,,,,,,
update_svi,,,1210000,41670000,147940000,true,25140000,false,71900000,35000000,,,
mint,,,,,,,,,,,75029305652515,true,5116937596054
update_basis,65298959800000,65270060790000,,,,,,,,,,,
update_svi,,,1150000,41740000,157310000,true,23790000,false,73900000,35000000,,,
mint,,,,,,,,,,,57641963427482,false,1084454883688
update_basis,65208189160000,65160449660000,,,,,,,,,,,
update_svi,,,1290000,42020000,140040000,true,26710000,false,71140000,35000000,,,
mint,,,,,,,,,,,65375706270133,true,378720365581
update_basis,65275873510000,65243314500000,,,,,,,,,,,
update_svi,,,1260000,41910000,143880000,true,26220000,false,72320000,35000000,,,
mint,,,,,,,,,,,74299523165831,true,3663240766183
update_basis,65328206260000,65290897900000,,,,,,,,,,,
update_svi,,,1120000,42010000,161640000,true,23010000,false,74770000,35000000,,,
mint,,,,,,,,,,,73764118904937,false,63464911084
update_basis,65348786670000,65317870300000,,,,,,,,,,,
update_svi,,,1170000,42080000,145930000,true,23490000,false,72430000,35000000,,,
mint,,,,,,,,,,,60589910272104,false,764658618039
update_basis,65620079080000,65588171820000,,,,,,,,,,,
update_svi,,,1050000,42010000,164330000,true,21060000,false,71960000,35000000,,,
mint,,,,,,,,,,,60057553169485,true,237501234688
update_basis,65298959800000,65270060790000,,,,,,,,,,,
update_svi,,,1150000,42180000,147740000,true,23130000,false,72190000,35000000,,,
mint,,,,,,,,,,,61234866851578,true,157292978742
update_basis,65560073720000,65649602730000,,,,,,,,,,,
update_svi,,,1060000,42180000,161650000,true,21040000,false,70220000,35000000,,,
mint,,,,,,,,,,,61505736629829,true,30047720190
update_basis,65620079080000,65588171820000,,,,,,,,,,,
update_svi,,,1050000,42010000,164330000,true,21060000,false,71960000,35000000,,,
mint,,,,,,,,,,,53542867494433,true,142753592880
update_basis,65560073720000,65528407850000,,,,,,,,,,,
update_svi,,,1060000,42180000,161650000,true,21040000,false,70220000,35000000,,,
mint,,,,,,,,,,,60711840368522,true,231303974072
update_basis,65671055740000,65649602730000,,,,,,,,,,,
update_svi,,,1110000,41820000,160130000,true,22940000,false,69650000,35000000,,,
mint,,,,,,,,,,,59520495718094,true,107227173506
update_basis,65678319720000,65643885170000,,,,,,,,,,,
update_svi,,,840000,41760000,203300000,true,17020000,false,78460000,35000000,,,
mint,,,,,,,,,,,71178931150996,true,1375792240360
update_basis,65679497620000,65653131900000,,,,,,,,,,,
update_svi,,,960000,41740000,188950000,true,19950000,false,72610000,35000000,,,
mint,,,,,,,,,,,54920893557598,true,78614211621
update_basis,65546805440000,65505222440000,,,,,,,,,,,
update_svi,,,820000,41600000,200970000,true,16490000,false,79770000,35000000,,,
mint,,,,,,,,,,,59510445422041,true,105292818024
update_basis,66016574810000,66000675480000,,,,,,,,,,,
update_svi,,,650000,40370000,241150000,true,13430000,false,75050000,35000000,,,
mint,,,,,,,,,,,63927257233347,true,277600342713
update_basis,65546805440000,66008004300000,,,,,,,,,,,
update_svi,,,800000,42720000,209730000,true,15180000,false,76880000,35000000,,,
mint,,,,,,,,,,,72156537252673,false,126090937542
update_basis,66119356180000,66093739070000,,,,,,,,,,,
update_svi,,,540000,42250000,270290000,true,9650000,false,85600000,35000000,,,
mint,,,,,,,,,,,58315555530196,true,56215530406
update_basis,66016574810000,66000675480000,,,,,,,,,,,
update_svi,,,650000,40370000,241150000,true,13430000,false,75050000,35000000,,,
mint,,,,,,,,,,,70052014627473,true,519076798305
update_basis,66003133240000,66003187160000,,,,,,,,,,,
update_svi,,,620000,40630000,239340000,true,12390000,false,74800000,35000000,,,
mint,,,,,,,,,,,71150374299508,false,224028865180
update_basis,65887817470000,65862287160000,,,,,,,,,,,
update_svi,,,590000,42200000,262550000,true,11270000,false,84830000,35000000,,,
mint,,,,,,,,,,,57739841263703,true,213930215593
update_basis,66468400870000,66416323950000,,,,,,,,,,,
update_svi,,,640000,40190000,229550000,true,12990000,false,72820000,35000000,,,
mint,,,,,,,,,,,59291248049036,false,1313575170140
update_basis,66131383300000,66120044520000,,,,,,,,,,,
update_svi,,,810000,38770000,210190000,true,15090000,false,68950000,35000000,,,
mint,,,,,,,,,,,61760194750047,true,222061580249
update_basis,65293903230000,65237217550000,,,,,,,,,,,
update_svi,,,1140000,41980000,169560000,true,23920000,false,71950000,35000000,,,
mint,,,,,,,,,,,62310767389431,false,445013257652
update_basis,65401489180000,65366102650000,,,,,,,,,,,
update_svi,,,680000,42340000,233790000,true,12830000,false,84500000,35000000,,,
mint,,,,,,,,,,,70961245766794,false,122491972623
update_basis,65353260960000,65317898320000,,,,,,,,,,,
update_svi,,,790000,41550000,245820000,true,17250000,false,77280000,35000000,,,
mint,,,,,,,,,,,69789292339563,false,78206475701
update_basis,65353260960000,65317898320000,,,,,,,,,,,
update_svi,,,790000,41550000,245820000,true,17250000,false,77280000,35000000,,,
mint,,,,,,,,,,,65808859813593,false,42555977238
update_basis,66018051520000,65996204040000,,,,,,,,,,,
update_svi,,,650000,40640000,235380000,true,13230000,false,73440000,35000000,,,
mint,,,,,,,,,,,72914276130929,false,212731127175
update_basis,65698717590000,65676795950000,,,,,,,,,,,
update_svi,,,790000,41980000,232890000,true,16480000,false,74130000,35000000,,,
mint,,,,,,,,,,,53663036054982,true,62975991626
update_basis,66016966590000,65821416510000,,,,,,,,,,,
update_svi,,,610000,41800000,252590000,true,11850000,false,78210000,35000000,,,
mint,,,,,,,,,,,57887341617862,false,1543867289309
update_basis,65826614950000,65821416510000,,,,,,,,,,,
update_svi,,,610000,41800000,252590000,true,11850000,false,78210000,35000000,,,
mint,,,,,,,,,,,56714555719668,true,32727201236
update_basis,65847510470000,65815619640000,,,,,,,,,,,
update_svi,,,450000,41380000,271940000,true,7350000,false,80540000,35000000,,,
mint,,,,,,,,,,,60179865616373,false,408682674978
update_basis,65788331290000,65753588160000,,,,,,,,,,,
update_svi,,,720000,41900000,219550000,true,13910000,false,73470000,35000000,,,
mint,,,,,,,,,,,74426592607469,false,178021759811
update_basis,65624136930000,65593542280000,,,,,,,,,,,
update_svi,,,620000,41630000,238190000,true,11750000,false,78060000,35000000,,,
mint,,,,,,,,,,,54614923385637,true,65711000463
update_basis,65864558480000,65831677230000,,,,,,,,,,,
update_svi,,,640000,41650000,241060000,true,12290000,false,74920000,35000000,,,
mint,,,,,,,,,,,71384345949034,true,244230610264
update_basis,65759995230000,65727253940000,,,,,,,,,,,
update_svi,,,730000,41030000,224070000,true,15120000,false,73190000,35000000,,,
mint,,,,,,,,,,,56372275964107,true,193844638909
update_basis,65834682060000,65797530780000,,,,,,,,,,,
update_svi,,,820000,40440000,210030000,true,17820000,false,70090000,35000000,,,
mint,,,,,,,,,,,62476486961146,true,211666357850
update_basis,65834682060000,65797530780000,,,,,,,,,,,
update_svi,,,820000,40440000,210030000,true,17820000,false,70090000,35000000,,,
mint,,,,,,,,,,,63340285479724,false,99879149782
update_basis,65773297460000,65749010690000,,,,,,,,,,,
update_svi,,,720000,40270000,225720000,true,15370000,false,74580000,35000000,,,
mint,,,,,,,,,,,61121685877283,false,521443797798
update_basis,66261015230000,66234422990000,,,,,,,,,,,
update_svi,,,600000,40230000,228210000,true,11540000,false,73900000,35000000,,,
mint,,,,,,,,,,,65259543366930,false,126936282342
update_basis,66566450130000,66533560370000,,,,,,,,,,,
update_svi,,,490000,41970000,224750000,true,6980000,false,76270000,35000000,,,
mint,,,,,,,,,,,66413097559885,false,387149128935
update_basis,66548717200000,66533560370000,,,,,,,,,,,
update_svi,,,490000,41970000,224750000,true,6980000,false,76270000,35000000,,,
mint,,,,,,,,,,,63956249636094,false,293025810899
update_basis,66561582660000,66554009800000,,,,,,,,,,,
update_svi,,,470000,42100000,234180000,true,6610000,false,75760000,35000000,,,
mint,,,,,,,,,,,55420127360736,true,155439957374
update_basis,66755238900000,66742031800000,,,,,,,,,,,
update_svi,,,420000,42010000,245370000,true,5160000,false,77370000,35000000,,,
mint,,,,,,,,,,,65683865709750,false,259836833205
update_basis,66930081980000,66910136780000,,,,,,,,,,,
update_svi,,,410000,41940000,252990000,true,5310000,false,77860000,35000000,,,
mint,,,,,,,,,,,69259771667236,false,80271404921
update_basis,66813545540000,66802632690000,,,,,,,,,,,
update_svi,,,420000,42130000,251120000,true,5290000,false,77590000,35000000,,,
mint,,,,,,,,,,,66510001802130,true,331755015733
update_basis,66593420430000,66570130530000,,,,,,,,,,,
update_svi,,,450000,41810000,245460000,true,6450000,false,76980000,35000000,,,
mint,,,,,,,,,,,65464233110433,true,146222004810
update_basis,66597141270000,66577504190000,,,,,,,,,,,
update_svi,,,450000,41740000,247300000,true,6320000,false,77320000,35000000,,,
mint,,,,,,,,,,,64782760126297,true,138519115981
update_basis,66288012540000,66260444270000,,,,,,,,,,,
update_svi,,,550000,40540000,234400000,true,9930000,false,74360000,35000000,,,
mint,,,,,,,,,,,65047493728278,false,25331783799
update_basis,66587978070000,66567864100000,,,,,,,,,,,
update_svi,,,420000,42030000,243900000,true,5130000,false,78070000,35000000,,,
mint,,,,,,,,,,,64345685843446,true,176324946885
update_basis,66506775280000,66487830970000,,,,,,,,,,,
update_svi,,,440000,41810000,240480000,true,5950000,false,78180000,35000000,,,
mint,,,,,,,,,,,72107989965240,true,999773450069
update_basis,66632646200000,66613995640000,,,,,,,,,,,
update_svi,,,420000,41580000,247240000,true,5670000,false,78430000,35000000,,,
mint,,,,,,,,,,,58484569809903,true,117861056780
update_basis,66542350430000,66518313310000,,,,,,,,,,,
update_svi,,,430000,41580000,248810000,true,6000000,false,78060000,35000000,,,
mint,,,,,,,,,,,59956496636329,true,64120167579
update_basis,66565243850000,66179984560000,,,,,,,,,,,
update_svi,,,420000,41380000,252480000,true,5900000,false,79050000,35000000,,,
mint,,,,,,,,,,,73756817210940,false,25187217181
update_basis,66110416470000,66085927450000,,,,,,,,,,,
update_svi,,,840000,40480000,190800000,true,17590000,false,68730000,35000000,,,
mint,,,,,,,,,,,70722050549886,false,54100253066
update_basis,66110416470000,66068882800000,,,,,,,,,,,
update_svi,,,840000,40480000,190800000,true,17590000,false,68730000,35000000,,,
mint,,,,,,,,,,,62199221978922,false,49811810488
update_basis,66228424110000,66196070120000,,,,,,,,,,,
update_svi,,,670000,40350000,210650000,true,13010000,false,72530000,35000000,,,
mint,,,,,,,,,,,55329364828177,true,45505826752
update_basis,66207813120000,66187394300000,,,,,,,,,,,
update_svi,,,630000,40170000,220990000,true,12240000,false,74130000,35000000,,,
mint,,,,,,,,,,,75238908241220,false,118153433443
update_basis,66186356150000,66159067140000,,,,,,,,,,,
update_svi,,,650000,40110000,230840000,true,13200000,false,72430000,35000000,,,
mint,,,,,,,,,,,73733721841153,true,1123726568043
update_basis,66412908510000,66371071300000,,,,,,,,,,,
update_svi,,,460000,40410000,247430000,true,7510000,false,78130000,35000000,,,
mint,,,,,,,,,,,63729872345877,true,90232641644
update_basis,66329069490000,66302954450000,,,,,,,,,,,
update_svi,,,510000,40350000,236050000,true,8850000,false,76620000,35000000,,,
mint,,,,,,,,,,,63585755354109,true,156988107928
update_basis,66261015230000,66234422990000,,,,,,,,,,,
update_svi,,,600000,40230000,228210000,true,11540000,false,73900000,35000000,,,
mint,,,,,,,,,,,56918703075808,true,151583160250
update_basis,66364384860000,66484411530000,,,,,,,,,,,
update_svi,,,500000,40340000,254930000,true,9140000,false,75380000,35000000,,,
mint,,,,,,,,,,,70379968483329,false,106507867785
update_basis,66649948500000,66618342860000,,,,,,,,,,,
update_svi,,,480000,40120000,254040000,true,8630000,false,75270000,35000000,,,
mint,,,,,,,,,,,60341719475721,true,207776406343
update_basis,66785238650000,66761820110000,,,,,,,,,,,
update_svi,,,570000,39760000,237550000,true,11370000,false,71830000,35000000,,,
mint,,,,,,,,,,,69019051446386,true,281474859925
update_basis,66785008470000,66756678330000,,,,,,,,,,,
update_svi,,,490000,39840000,248710000,true,8950000,false,75310000,35000000,,,
mint,,,,,,,,,,,60971081731072,true,18009803129
update_basis,66878876450000,66856590880000,,,,,,,,,,,
update_svi,,,570000,39200000,235700000,true,11440000,false,74140000,35000000,,,
mint,,,,,,,,,,,66806477184919,false,171295391025
update_basis,66894462670000,66877833200000,,,,,,,,,,,
update_svi,,,470000,40120000,251370000,true,8250000,false,75790000,35000000,,,
mint,,,,,,,,,,,58252236560175,true,37002057495
update_basis,66890874610000,66873101970000,,,,,,,,,,,
update_svi,,,430000,40180000,256310000,true,7050000,false,77630000,35000000,,,
mint,,,,,,,,,,,69701012816985,false,19744463197
update_basis,66890575700000,66873077220000,,,,,,,,,,,
update_svi,,,590000,39790000,236860000,true,11890000,false,72110000,35000000,,,
mint,,,,,,,,,,,73084922202576,true,1066248307423
update_basis,66824692190000,66804766690000,,,,,,,,,,,
update_svi,,,600000,39550000,237760000,true,12380000,false,72710000,35000000,,,
mint,,,,,,,,,,,60583014210574,true,177257511011
update_basis,66751091240000,66723634590000,,,,,,,,,,,
update_svi,,,620000,38940000,231000000,true,13370000,false,72660000,35000000,,,
mint,,,,,,,,,,,68956310778207,false,232130367347
update_basis,66751819590000,66734379140000,,,,,,,,,,,
update_svi,,,620000,39790000,225390000,true,12480000,false,70810000,35000000,,,
mint,,,,,,,,,,,62613576589119,true,17198656628
update_basis,66751819590000,66711412240000,,,,,,,,,,,
update_svi,,,710000,39120000,206360000,true,15260000,false,68900000,35000000,,,
mint,,,,,,,,,,,67498017186009,false,268338186501
update_basis,66792601560000,66775554810000,,,,,,,,,,,
update_svi,,,600000,39800000,228390000,true,11990000,false,71090000,35000000,,,
mint,,,,,,,,,,,56311048743710,false,2369051061163
update_basis,66945053500000,66929287830000,,,,,,,,,,,
update_svi,,,550000,39450000,242590000,true,10800000,false,72850000,35000000,,,
mint,,,,,,,,,,,60898227045325,false,1188176971798
update_basis,66931675600000,66833912490000,,,,,,,,,,,
update_svi,,,630000,39210000,227420000,true,13370000,false,70250000,35000000,,,
mint,,,,,,,,,,,58389457168390,false,1987511701797
update_basis,66678932580000,66754724620000,,,,,,,,,,,
update_svi,,,580000,39880000,237530000,true,11460000,false,72380000,35000000,,,
mint,,,,,,,,,,,55726643568945,false,4373979882065
update_basis,66850618380000,66816126590000,,,,,,,,,,,
update_svi,,,630000,39210000,227420000,true,13370000,false,70250000,35000000,,,
mint,,,,,,,,,,,55404937482880,true,72165431846
update_basis,66678932580000,66663703490000,,,,,,,,,,,
update_svi,,,580000,39880000,237530000,true,11460000,false,72380000,35000000,,,
mint,,,,,,,,,,,69832722075831,false,30801423616
update_basis,66764899690000,66754724620000,,,,,,,,,,,
update_svi,,,670000,39350000,224290000,true,14180000,false,69470000,35000000,,,
mint,,,,,,,,,,,55095065272299,false,4509301937826
update_basis,66700586060000,66674190180000,,,,,,,,,,,
update_svi,,,610000,39900000,223760000,true,11930000,false,70890000,35000000,,,
mint,,,,,,,,,,,67360188265422,true,191819748484
update_basis,66700586060000,66674190180000,,,,,,,,,,,
update_svi,,,610000,39900000,223760000,true,11930000,false,70890000,35000000,,,
mint,,,,,,,,,,,75298039483854,true,4596342335540
update_basis,66722565140000,66747610710000,,,,,,,,,,,
update_svi,,,690000,39080000,214780000,true,14890000,false,68560000,35000000,,,
mint,,,,,,,,,,,71774357250384,false,217603397644
update_basis,66765970240000,66747610710000,,,,,,,,,,,
update_svi,,,670000,39170000,217640000,true,14060000,false,69270000,35000000,,,
mint,,,,,,,,,,,63504119819370,false,450179313570
update_basis,66636192340000,66617236490000,,,,,,,,,,,
update_svi,,,560000,39710000,234310000,true,10680000,false,73170000,35000000,,,
mint,,,,,,,,,,,74174875194160,true,2946002891062
update_basis,66691375830000,66747369470000,,,,,,,,,,,
update_svi,,,550000,39740000,234760000,true,10480000,false,72700000,35000000,,,
mint,,,,,,,,,,,63419776902461,false,689127657707
update_basis,66765095230000,66739217490000,,,,,,,,,,,
update_svi,,,470000,39650000,258440000,true,8520000,false,75090000,35000000,,,
mint,,,,,,,,,,,54333144902784,false,1753609597119
update_basis,66989817520000,66966210160000,,,,,,,,,,,
update_svi,,,550000,39430000,242470000,true,10850000,false,71710000,35000000,,,
mint,,,,,,,,,,,73235423330162,false,88584070827
update_basis,66908229440000,66887257490000,,,,,,,,,,,
update_svi,,,620000,39260000,229590000,true,12800000,false,69540000,35000000,,,
mint,,,,,,,,,,,59091992857885,true,177284240903
update_basis,66908229440000,66833624920000,,,,,,,,,,,
update_svi,,,620000,39260000,229590000,true,12800000,false,69540000,35000000,,,
mint,,,,,,,,,,,67016942158214,false,270202580472
update_basis,66739790720000,66717315920000,,,,,,,,,,,
update_svi,,,510000,39790000,240410000,true,9440000,false,73170000,35000000,,,
mint,,,,,,,,,,,63813428787809,true,259828443536
update_basis,66621201420000,66605386760000,,,,,,,,,,,
update_svi,,,590000,39310000,234520000,true,11970000,false,71390000,35000000,,,
mint,,,,,,,,,,,54280648097901,false,3199625159685
update_basis,66621201420000,66605386760000,,,,,,,,,,,
update_svi,,,590000,39310000,234520000,true,11970000,false,71390000,35000000,,,
mint,,,,,,,,,,,61079820023627,false,466568953684
update_basis,66257609440000,66229959040000,,,,,,,,,,,
update_svi,,,640000,39230000,219920000,true,13390000,false,70540000,35000000,,,
mint,,,,,,,,,,,62570183810047,true,60123978769
update_basis,66254469550000,66261322740000,,,,,,,,,,,
update_svi,,,590000,39720000,226260000,true,11670000,false,71500000,35000000,,,
mint,,,,,,,,,,,55977737062753,false,3091493907666
update_basis,66177912720000,66159710930000,,,,,,,,,,,
update_svi,,,790000,39060000,202260000,true,17530000,false,66390000,35000000,,,
mint,,,,,,,,,,,59257492121883,true,114422902679
update_basis,66172476680000,66156861530000,,,,,,,,,,,
update_svi,,,690000,38440000,233360000,true,16010000,false,70770000,35000000,,,
mint,,,,,,,,,,,55026305404540,true,55547759438
update_basis,66224903120000,66205466930000,,,,,,,,,,,
update_svi,,,560000,38770000,243230000,true,11670000,false,74420000,35000000,,,
mint,,,,,,,,,,,58972077184270,true,123611655290
update_basis,66224903120000,66205466930000,,,,,,,,,,,
update_svi,,,560000,38770000,243230000,true,11670000,false,74420000,35000000,,,
mint,,,,,,,,,,,63715566339163,false,389794599213
update_basis,65700104520000,65688144940000,,,,,,,,,,,
update_svi,,,730000,39590000,224850000,true,16120000,false,71930000,35000000,,,
mint,,,,,,,,,,,73469847246526,true,971160415046
update_basis,65707119940000,65688318010000,,,,,,,,,,,
update_svi,,,790000,41000000,222000000,true,16780000,false,69360000,35000000,,,
mint,,,,,,,,,,,73886459363284,false,90039922051
update_basis,65577370210000,65745768920000,,,,,,,,,,,
update_svi,,,780000,41340000,224570000,true,16370000,false,71130000,35000000,,,
mint,,,,,,,,,,,53704108512782,false,523440067741
update_basis,65758089430000,65745768920000,,,,,,,,,,,
update_svi,,,920000,40400000,205790000,true,20570000,false,66490000,35000000,,,
mint,,,,,,,,,,,57459879223683,false,793414534644
update_basis,65798122870000,65778041910000,,,,,,,,,,,
update_svi,,,830000,40040000,230510000,true,19220000,false,69300000,35000000,,,
mint,,,,,,,,,,,72136050200966,false,213648308604
update_basis,65975534840000,65964963110000,,,,,,,,,,,
update_svi,,,650000,40430000,276160000,true,14920000,false,76540000,35000000,,,
mint,,,,,,,,,,,65269012215968,false,281129173267
update_basis,65975534840000,65964963110000,,,,,,,,,,,
update_svi,,,650000,40430000,276160000,true,14920000,false,76540000,35000000,,,
mint,,,,,,,,,,,60389395291178,true,160458329908
update_basis,65960222420000,65930773980000,,,,,,,,,,,
update_svi,,,660000,40390000,275410000,true,15370000,false,76170000,35000000,,,
mint,,,,,,,,,,,57852854669044,true,26698841929
update_basis,66008176990000,65995163020000,,,,,,,,,,,
update_svi,,,540000,41210000,294180000,true,11140000,false,78390000,35000000,,,
mint,,,,,,,,,,,61573811727801,false,721888468358
update_basis,66279319390000,66273748670000,,,,,,,,,,,
update_svi,,,1230000,36140000,257150000,true,17070000,false,57250000,35000000,,,
mint,,,,,,,,,,,72701566320352,false,198794937502
update_basis,65906091030000,65885973130000,,,,,,,,,,,
update_svi,,,760000,40710000,250940000,true,17350000,false,71170000,35000000,,,
mint,,,,,,,,,,,71256948305211,false,147997299549
update_basis,66065518700000,65991137690000,,,,,,,,,,,
update_svi,,,720000,40460000,253850000,true,16350000,false,70420000,35000000,,,
mint,,,,,,,,,,,53570491842791,true,70999370176
update_basis,66003908340000,65991137690000,,,,,,,,,,,
update_svi,,,630000,39660000,264890000,true,14290000,false,74630000,35000000,,,
mint,,,,,,,,,,,64430529415292,true,223960951950
update_basis,65779948440000,65756135390000,,,,,,,,,,,
update_svi,,,830000,40430000,210230000,true,17900000,false,66390000,35000000,,,
mint,,,,,,,,,,,75023608855896,true,814699349099
update_basis,65801074700000,65789369220000,,,,,,,,,,,
update_svi,,,670000,40910000,244170000,true,13870000,false,68640000,35000000,,,
mint,,,,,,,,,,,66116079167915,true,60116011033
update_basis,65938685050000,65930863120000,,,,,,,,,,,
update_svi,,,730000,40070000,241460000,true,16340000,false,68010000,35000000,,,
mint,,,,,,,,,,,63475551298353,true,220489640706
update_basis,65990682460000,65977290240000,,,,,,,,,,,
update_svi,,,490000,40790000,273440000,true,9250000,false,72960000,35000000,,,
mint,,,,,,,,,,,73525041162582,false,193389701311
update_basis,66076847770000,66061301470000,,,,,,,,,,,
update_svi,,,700000,39450000,233750000,true,15590000,false,67670000,35000000,,,
mint,,,,,,,,,,,59074457361156,false,1219265104487
update_basis,66293892760000,66279487740000,,,,,,,,,,,
update_svi,,,690000,38500000,229820000,true,15750000,false,68570000,35000000,,,
mint,,,,,,,,,,,74586290109551,true,2066737800980
update_basis,66244924650000,66231894090000,,,,,,,,,,,
update_svi,,,690000,38260000,231910000,true,16180000,false,68470000,35000000,,,
mint,,,,,,,,,,,66665419683255,false,311224255940
update_basis,66366081340000,66357622500000,,,,,,,,,,,
update_svi,,,600000,38420000,247970000,true,13710000,false,70680000,35000000,,,
mint,,,,,,,,,,,66490183178948,false,123342835354
update_basis,66405589360000,66559875220000,,,,,,,,,,,
update_svi,,,620000,38340000,250040000,true,14420000,false,69910000,35000000,,,
mint,,,,,,,,,,,65725857858508,true,341342807710
update_basis,66561063080000,66503035440000,,,,,,,,,,,
update_svi,,,720000,37450000,232260000,true,17890000,false,67620000,35000000,,,
mint,,,,,,,,,,,70208752850037,false,236800680412
update_basis,66409865960000,66403724880000,,,,,,,,,,,
update_svi,,,830000,36660000,204890000,true,21060000,false,65790000,35000000,,,
mint,,,,,,,,,,,70662378539966,true,581118400088
update_basis,66484808270000,66480887020000,,,,,,,,,,,
update_svi,,,860000,36680000,202520000,true,22220000,false,63350000,35000000,,,
mint,,,,,,,,,,,71905804753619,false,36318379508
update_basis,66398760530000,66397652090000,,,,,,,,,,,
update_svi,,,850000,36680000,198910000,true,21510000,false,64800000,35000000,,,
mint,,,,,,,,,,,61964873116383,true,141218695952
update_basis,66353401930000,66355935320000,,,,,,,,,,,
update_svi,,,940000,36430000,185060000,true,24130000,false,61860000,35000000,,,
mint,,,,,,,,,,,73072394708939,true,2897972953272
update_basis,66305074760000,66301028540000,,,,,,,,,,,
update_svi,,,850000,36910000,193600000,true,21110000,false,64780000,35000000,,,
mint,,,,,,,,,,,74918775235360,false,110325193982
update_basis,66305074760000,66301028540000,,,,,,,,,,,
update_svi,,,850000,36910000,193600000,true,21110000,false,64780000,35000000,,,
mint,,,,,,,,,,,63671244835664,false,685180786157
update_basis,66323171260000,66319466350000,,,,,,,,,,,
update_svi,,,690000,37510000,218770000,true,16370000,false,67910000,35000000,,,
mint,,,,,,,,,,,62186545303757,false,417501489399
